datetime,open,high,low,close,volume
2023-01-27 09:37:00,166.7003,167.05,166.7,167.02,951264
2023-01-27 09:38:00,167.0217,167.38,166.98,167.0057,966321
2023-01-27 09:39:00,167.005,167.285,167.0004,167.2,524637
2023-01-27 09:40:00,167.195,167.3384,166.97,167.08,650085
2023-01-27 09:41:00,167.08,167.17,166.805,167.087,618931
2023-01-27 09:42:00,167.06,167.67,167.06,167.4299,875636
2023-01-27 09:43:00,167.4133,167.45,166.88,167.0185,577365
2023-01-27 09:44:00,167.0499,167.19,166.89,167.08,462725
2023-01-27 09:45:00,167.07,167.2,166.84,166.895,527859
2023-01-27 09:46:00,166.8878,166.92,166.44,166.58,845643
2023-01-27 09:47:00,166.58,166.63,166.29,166.5706,652604
2023-01-27 09:48:00,166.575,166.596,166.11,166.1767,612411
2023-01-27 09:49:00,166.155,166.22,166,166.1163,597132
2023-01-27 09:50:00,166.11,166.43,165.99,166.363,626388
2023-01-27 09:51:00,166.341,166.83,166.31,166.67,698504
2023-01-27 09:52:00,166.6774,166.7511,166.38,166.41,563165
2023-01-27 09:53:00,166.4083,166.4083,165.93,165.9588,604869
2023-01-27 09:54:00,165.945,166.17,165.8,166.1161,624132
2023-01-27 09:55:00,166.105,166.15,165.8328,165.9946,406826
2023-01-27 09:56:00,166,166.6,165.8803,166.4423,616662
2023-01-27 09:57:00,166.46,166.65,166.31,166.605,496810
2023-01-27 09:58:00,166.6399,166.99,166.5976,166.8115,647628
2023-01-27 09:59:00,166.84,166.98,166.63,166.9685,437280
2023-01-27 10:00:00,166.96,167.45,166.8162,167.4399,927936
2023-01-27 10:01:00,167.4329,167.88,167.21,167.86,976918
2023-01-27 10:02:00,167.87,167.99,167.5,167.55,716789
2023-01-27 10:03:00,167.54,167.68,167.36,167.46,504132
2023-01-27 10:04:00,167.43,167.75,167.13,167.387,634728
2023-01-27 10:05:00,167.4,167.94,167.1501,167.82,708831
2023-01-27 10:06:00,167.824,167.88,167.68,167.8298,462650
2023-01-27 10:07:00,167.8379,168.09,167.77,167.8476,978366
2023-01-27 10:08:00,167.84,167.91,167.69,167.8599,483880
2023-01-27 10:09:00,167.8318,168.25,167.75,168.22,818502
2023-01-27 10:10:00,168.205,168.29,167.88,167.99,671470
2023-01-27 10:11:00,167.9607,168.14,167.8,167.8906,549890
2023-01-27 10:12:00,167.9,168.16,167.84,168.07,385868
2023-01-27 10:13:00,168.07,168.18,167.98,168.0417,413309
2023-01-27 10:14:00,168.05,168.05,167.76,167.78,443767
2023-01-27 10:15:00,167.8036,168.07,167.78,167.89,404807
2023-01-27 10:16:00,167.8999,168.47,167.88,168.47,619219
2023-01-27 10:17:00,168.4699,168.47,168.1,168.44,429694
2023-01-27 10:18:00,168.45,168.88,168.35,168.83,674236
2023-01-27 10:19:00,168.8473,169.3,168.8,169.2986,906873
2023-01-27 10:20:00,169.2881,169.53,169.25,169.3013,871962
2023-01-27 10:21:00,169.3101,169.59,169.295,169.58,560236
2023-01-27 10:22:00,169.59,169.61,169.2627,169.5999,675092
2023-01-27 10:23:00,169.5826,169.85,169.55,169.6374,913501
2023-01-27 10:24:00,169.64,169.89,169.59,169.7843,646192
2023-01-27 10:25:00,169.7701,169.94,169.51,169.6203,664831
2023-01-27 10:26:00,169.611,169.75,169.47,169.75,539329
2023-01-27 10:27:00,169.71,169.88,169.35,169.5634,665377
2023-01-27 10:28:00,169.5731,169.62,169.36,169.4462,531330
2023-01-27 10:29:00,169.46,169.62,169.42,169.53,431069
2023-01-27 10:30:00,169.56,169.94,169.4803,169.635,750804
2023-01-27 10:31:00,169.66,170.35,169.6057,170.33,1546836.0
2023-01-27 10:32:00,170.33,170.55,170.2,170.5385,932773
2023-01-27 10:33:00,170.52,170.6855,170.31,170.68,817716
2023-01-27 10:34:00,170.66,171.25,170.57,171.1601,1216356.0
2023-01-27 10:35:00,171.155,171.42,170.81,170.8499,1344628.0
2023-01-27 10:36:00,170.86,171.3,170.8304,171.26,891309
2023-01-27 10:37:00,171.26,171.83,171.24,171.73,1372966.0
2023-01-27 10:38:00,171.7104,171.85,171.37,171.72,1177685.0
2023-01-27 10:39:00,171.7195,171.86,171.35,171.46,969716
2023-01-27 10:40:00,171.5099,172.1499,171.359,172.0574,1491603.0
2023-01-27 10:41:00,172.06,172.39,172.04,172.18,1157213.0
2023-01-27 10:42:00,172.1501,172.5,172.1501,172.475,929431
2023-01-27 10:43:00,172.475,173.44,172.475,173.3399,1832447.0
2023-01-27 10:44:00,173.335,173.37,172.58,172.725,1486769.0
2023-01-27 10:45:00,172.742,172.7799,171.9319,172.05,1207466.0
2023-01-27 10:46:00,172.05,172.4899,171.95,172.4169,892797
2023-01-27 10:47:00,172.4453,172.48,172.22,172.4674,688405
2023-01-27 10:48:00,172.465,172.53,171.81,172.0501,1030322.0
2023-01-27 10:49:00,172.05,172.34,171.91,172.3199,598264
2023-01-27 10:50:00,172.2762,173.85,172.25,173.655,1660479.0
2023-01-27 10:51:00,173.655,174.2899,173.51,174.115,1609263.0
2023-01-27 10:52:00,174.1161,174.2,173.74,174.085,1021133.0
2023-01-27 10:53:00,174.044,174.1,173.7047,173.955,781926
2023-01-27 10:54:00,173.99,174.44,173.91,174.06,1087603.0
2023-01-27 10:55:00,174.0696,174.68,174,174.665,1196044.0
2023-01-27 10:56:00,174.68,174.9,174.65,174.78,1126751.0
2023-01-27 10:57:00,174.788,174.99,174.22,174.85,1269896.0
2023-01-27 10:58:00,174.85,174.99,174.35,174.485,969647
2023-01-27 10:59:00,174.5,174.58,173.99,174.0918,1012924.0
2023-01-27 11:00:00,174.085,174.2,173.72,173.7701,926665
2023-01-27 11:01:00,173.77,174.58,173.75,174.52,994679
2023-01-27 11:02:00,174.52,174.79,173.7839,174.125,1049029.0
2023-01-27 11:03:00,174.14,174.64,174.08,174.32,693488
2023-01-27 11:04:00,174.33,174.38,173.9172,174.05,582069
2023-01-27 11:05:00,174.065,174.65,174.0282,174.14,661149
2023-01-27 11:06:00,174.15,174.43,173.86,174.2999,865402
2023-01-27 11:07:00,174.26,174.4,173.9101,174.01,558222
2023-01-27 11:08:00,174.025,174.2,173.42,173.59,1037330.0
2023-01-27 11:09:00,173.61,173.63,173.17,173.4774,846871
2023-01-27 11:10:00,173.4601,173.7662,173.18,173.28,760385
2023-01-27 11:11:00,173.279,173.3,172.88,172.9,942269
2023-01-27 11:12:00,172.9,173.35,172.8838,173.2301,708177
2023-01-27 11:13:00,173.2301,174.15,173.19,174.06,1070635.0
2023-01-27 11:14:00,174.05,174.71,174.01,174.68,1113038.0
2023-01-27 11:15:00,174.7,175.39,174.49,175.325,1895764.0
2023-01-27 11:16:00,175.325,175.91,175.23,175.5049,1341673.0
2023-01-27 11:17:00,175.52,175.58,175.26,175.3501,799584
2023-01-27 11:18:00,175.3604,175.83,175.23,175.775,835398
2023-01-27 11:19:00,175.7796,176.5,175.56,176.4683,1338873.0
2023-01-27 11:20:00,176.44,176.8,176.33,176.7399,1457412.0
2023-01-27 11:21:00,176.72,177.7,176.66,177.21,1663028.0
2023-01-27 11:22:00,177.235,178.01,177.01,177.675,1680063.0
2023-01-27 11:23:00,177.69,178.7,177.37,178.17,1819290.0
2023-01-27 11:24:00,178.17,178.51,177.61,177.7405,1319938.0
2023-01-27 11:25:00,177.75,178.4,177.6,177.7939,1251650.0
2023-01-27 11:26:00,177.814,178.1,177.19,177.39,1264231.0
2023-01-27 11:27:00,177.3798,177.5,176.83,177.035,1066619.0
2023-01-27 11:28:00,177.0376,177.25,176.87,176.95,733698
2023-01-27 11:29:00,176.9501,178.2,176.95,177.54,1282350.0
2023-01-27 11:30:00,177.5699,178.3,177.5,178.22,918118
2023-01-27 11:31:00,178.23,178.3623,177.5,177.6328,763072
2023-01-27 11:32:00,177.64,177.78,176.83,176.9374,892214
